id;name;city;address;jhi_type
1;Hilton Paris Opera;Paris;108 Rue Saint-Lazare, 75008 Paris, France;Hotel
2;Novotel Paris Centre Bercy;Paris;85 rue de Bercy, 75012 Paris, France;Hotel
3;Le Village;Paris;20 rue d'Orsel, 75018 Paris, France;Hostel
4;Le Roi de Sicile;Paris;41 rue du Roi de Sicile, 75004 Paris, France;Inn
